age,occupation,credit rating,label
middle_aged,student,excellent,sell
senior,worker,fair,sell
youth,worker,excellent,sell
middle_aged,worker,fair,dont_sell
youth,worker,fair,sell
senior,worker,fair,sell
youth,worker,fair,sell
middle_aged,student,excellent,dont_sell
youth,student,fair,sell
youth,worker,excellent,sell
youth,student,fair,sell
senior,student,excellent,dont_sell
senior,worker,fair,sell
youth,student,excellent,dont_sell
senior,student,fair,sell
senior,worker,fair,sell
middle_aged,student,fair,sell
youth,worker,fair,sell
middle_aged,student,fair,dont_sell
youth,student,fair,dont_sell
senior,student,excellent,dont_sell
youth,student,fair,dont_sell
youth,worker,excellent,dont_sell
youth,student,excellent,dont_sell
middle_aged,student,fair,dont_sell
middle_aged,worker,fair,sell
middle_aged,student,excellent,dont_sell
senior,student,excellent,dont_sell
senior,worker,excellent,sell
senior,worker,excellent,sell
middle_aged,worker,fair,sell
senior,worker,fair,dont_sell
youth,worker,fair,sell
youth,worker,excellent,sell
senior,worker,fair,sell
middle_aged,student,fair,sell
youth,student,excellent,dont_sell
youth,student,fair,dont_sell
youth,student,fair,dont_sell
senior,student,fair,dont_sell
senior,student,fair,dont_sell
middle_aged,student,excellent,sell
senior,worker,excellent,sell
youth,student,excellent,dont_sell
youth,student,fair,sell
middle_aged,student,fair,dont_sell
senior,student,fair,dont_sell
middle_aged,student,fair,dont_sell
youth,worker,fair,sell
middle_aged,student,fair,dont_sell
youth,worker,fair,dont_sell
youth,student,fair,sell
middle_aged,worker,fair,dont_sell
youth,worker,fair,dont_sell
middle_aged,worker,excellent,dont_sell
middle_aged,student,fair,dont_sell
senior,student,excellent,sell
middle_aged,worker,fair,dont_sell
senior,worker,excellent,dont_sell
youth,worker,fair,sell
senior,student,fair,dont_sell
senior,student,fair,dont_sell
middle_aged,worker,fair,sell
youth,student,excellent,dont_sell
middle_aged,worker,fair,sell
middle_aged,worker,excellent,sell
youth,student,fair,dont_sell
youth,student,excellent,sell
senior,worker,fair,dont_sell
senior,worker,fair,sell
youth,student,excellent,dont_sell
youth,worker,fair,dont_sell
middle_aged,student,excellent,sell
middle_aged,student,excellent,sell
youth,worker,fair,dont_sell
senior,worker,excellent,sell
youth,worker,fair,dont_sell
senior,worker,fair,sell
senior,student,fair,sell
middle_aged,worker,excellent,dont_sell
senior,student,excellent,dont_sell
youth,student,excellent,dont_sell
middle_aged,student,fair,sell
middle_aged,worker,excellent,sell
middle_aged,student,fair,dont_sell
youth,student,fair,dont_sell
youth,worker,excellent,dont_sell
senior,student,excellent,dont_sell
middle_aged,student,fair,dont_sell
senior,worker,fair,dont_sell
middle_aged,student,fair,dont_sell
senior,worker,fair,dont_sell
senior,worker,excellent,dont_sell
senior,worker,fair,sell
youth,worker,excellent,sell
youth,student,fair,dont_sell
senior,student,excellent,sell
senior,worker,excellent,dont_sell
senior,worker,fair,dont_sell
senior,worker,fair,sell
